word,gloss,alternate_words
#all,,
#hs,,
#no,,
(movie/tv) credits,,
abduct,"take away to an undisclosed location against their will and usually in order to extract a ransom; ""The industrialist''s son was kidnapped""","abduct, kidnap, nobble, snatch"
abduct,"pull away from the body; ""this muscle abducts""",abduct
abductee,,
abduction,"inference to the best explanation; ""The sun has risen every day so far, therefore the sun will rise tomorrow""",abduction
abductor,a muscle that draws a part away from the median line,"abductor, abductor_muscle"
abed,in bed,abed
aberrant,"markedly different from an accepted norm; ""aberrent behavior""; ""deviant ideas""","aberrant, deviant"
abet,"assist or encourage, usually in some wrongdoing",abet
abetter,one who helps or encourages or incites another,"abetter, abettor"
abeyance,temporary cessation or suspension,"abeyance, suspension"
abhor,"find repugnant; ""I loathe that man""; ""She abhors cats""","abhor, abominate, execrate, loathe"
abidance,acting according to certain accepted standards,"abidance, compliance, conformation, conformity"
abidded by,,
abide,"dwell; ""You can stay with me while you are in town""; ""stay a bit longer--the day is still young""","abide, bide, stay"
abilities,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,ability
ability,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,ability
abiotic,,
abjection,"a low or downcast state; ""each confession brought her into an attitude of abasement""- H.L.Menchken","abasement, abjection, degradation"
abjuration,a disavowal or taking back of a previous assertion,"abjuration, recantation, retraction"
ablate,remove an organ or bodily structure,ablate
ablaze,"keenly excited (especially sexually) or indicating excitement; ""his face all ablaze with excitement""- Bram Stoker; ""he was aflame with desire""","ablaze, aflame, aroused, turned_on"
able,"(usually followed by `to'') having the necessary means or skill or know-how or authority to do something; ""able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project""",able
able to,,
able-bodied,"having a strong healthy body; ""an able seaman""; ""every able-bodied young man served in the army""","able, able-bodied"
abler,,
abloom,"bursting into flower; ""flowering spring trees""","abloom, efflorescent, flowering"
abnegate,"deny or renounce; ""They abnegated their gods""",abnegate
abnormal,"not normal; not typical or usual or regular or conforming to a norm; ""abnormal powers of concentration""; ""abnormal amounts of rain""; ""abnormal circumstances""; ""an abnormal interest in food""",abnormal
aboard,"on a ship, train, plane or other vehicle","aboard, onboard"
abode,"housing that someone is living in; ""he built a modest dwelling near the pond""; ""they raise money to provide homes for the homeless""","abode, domicile, dwelling, dwelling_house, habitation, home"
abolish,"do away with; ""Slavery was abolished in the mid-19th century in America and in Russia""","abolish, get_rid_of"
abolition,"the act of abolishing a system or practice or institution (especially abolishing slavery); ""the abolition of capital punishment""","abolishment, abolition"
abolitionist,a reformer who favors abolishing slavery,"abolitionist, emancipationist"
abominable,"unequivocally detestable; ""abominable treatment of prisoners""; ""detestable vices""; ""execrable crimes""; ""consequences odious to those you govern""- Edmund Burke","abominable, detestable, execrable, odious"
abominate,"find repugnant; ""I loathe that man""; ""She abhors cats""","abhor, abominate, execrate, loathe"
abort,terminate a pregnancy by undergoing an abortion,abort
abortion,termination of pregnancy,abortion
abortionist,a person (who should be a doctor) who terminates pregnancies,abortionist
abound,be abundant or plentiful; exist in large quantities,abound
about,"relating to, or on the topic of; ""she doesn't know the first thing about him,"" ""what about you?"" ""what are your thoughts regarding these events?""","about, regarding"
about,"(of quantities) imprecise but fairly close to correct; ""lasted approximately an hour""; ""in just about a minute""; ""he''s about 30 years old""; ""I''ve had about all I can stand""; ""we meet about once a month""; ""some forty people came""; ""weighs around a hundre","about, approximately, around, close_to, just_about, more_or_less, or_so, roughly, some"
about,"to or among many different places or in no particular direction; ""wandering about with no place to go""; ""people were rushing about""; ""news gets around (or about)""; ""traveled around in Asia""; ""he needs advice from someone who''s been around""; ""she sleeps a","about, around"
about (approximately),,
about face,"turn, usually 180 degrees",about-face
above,"at an earlier place; ""see above""","above, supra"
above all,"above and beyond all other consideration; ""above all, you must be independent""","above_all, most_especially, most_importantly"
aboveboard,"without concealment or deception; honest; ""their business was open and aboveboard""; ""straightforward in all his business affairs""","aboveboard, straightforward"
abracadabra,gibberish and nonsense,abracadabra
abraham,"the first of the Old Testament patriarchs and the father of Isaac; according to Genesis, God promised to give Abraham''s family (the Hebrews) the land of Canaan (the Promised Land); God tested Abraham by asking him to sacrifice his son; ""Judaism, Christia","Abraham, Ibrahim"
abraham lincoln,16th President of the United States; saved the Union during the Civil War and emancipated the slaves; was assassinated by Booth (1809-1865),"Abraham_Lincoln, Lincoln, President_Abraham_Lincoln, President_Lincoln"
abraham lincoln's birthday,,
abrasion,an abraded area where the skin is torn or worn off,"abrasion, excoriation, scrape, scratch"
abrasive,causing abrasion,"abrasive, scratchy"
abreast,"alongside each other, facing on the same direction",abreast
abridge,"reduce in scope while retaining essential elements; ""The manuscript must be shortened""","abbreviate, abridge, contract, cut, foreshorten, reduce, shorten"
abroad,"to or in a foreign country; ""they had never travelled abroad""",abroad
abrogate,revoke formally,abrogate
abrupt,"marked by sudden changes in subject and sharp transitions; ""abrupt prose""","abrupt, disconnected"
abscess,symptom consisting of a localized collection of pus surrounded by inflamed tissue,abscess
abscissa,the value of a coordinate on the horizontal axis,abscissa
abscond (with something stolen),run away; usually includes taking something or somebody along,"abscond, absquatulate, bolt, decamp, go_off, run_off"
absconder,a fugitive who runs away and hides to avoid arrest or prosecution,absconder
absence,"the state of being absent; ""he was surprised by the absence of any explanation""",absence
absent,not in a specified place physically or mentally,absent
absentee,one that is absent or not in residence,absentee
absentminded,"lost in thought; showing preoccupation; ""an absent stare""; ""an absentminded professer""; ""the scatty glancing quality of a hyperactive but unfocused intelligence""","absent, absentminded, abstracted, scatty"
absolute,"without conditions or limitations; ""a total ban""","absolute, total, unconditioned"
absolute location,,
absolute value,a numerical value regardless of its sign,absolute_value
absolute value function,,
absolutely,"completely and without qualification; used informally as intensifiers; ""an absolutely magnificent painting""; ""a perfectly idiotic idea""; ""you''re perfectly right""; ""utterly miserable""; ""you can be dead sure of my innocence""; ""was dead tired""; ""dead right""","absolutely, dead, perfectly, utterly"
absolutely nothing,,
absolution,the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance,"absolution, remission, remission_of_sin, remittal"
absolutism,the doctrine of an absolute being,absolutism
absolutist,one who advocates absolutism,absolutist
absolve,save from sins,"deliver, redeem, save"
absorb,"become imbued; ""The liquids, light, and gases absorb""",absorb
absorbed,"wholly absorbed as in thought; ""deep in thought""; ""that engrossed look or rapt delight""; ""the book had her totally engrossed""; ""enwrapped in dreams""; ""so intent on this fantastic...narrative that she hardly stirred""- Walter de la Mare; ""rapt with wonder"";","absorbed, engrossed, enwrapped, intent, rapt, wrapped"
absorption,(chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid,"absorption, soaking_up"
abstain,refrain from voting,abstain
abstainer,a person who refrains from drinking intoxicating beverages,"abstainer, abstinent, nondrinker"
abstention-vote,,
abstinence,act or practice of refraining from indulging an appetite,abstinence
"abstinence, sexual  purity, morality",,
"abstinence, sexual purity, morality",,
abstract,"not representing or imitating external reality or the objects of nature; ""a large abstract painting""","abstract, abstractionist, nonfigurative, nonobjective"
abstract,a sketchy summary of the main points of an argument or theory,"abstract, outline, precis, synopsis"
abstract art,an abstract genre of art; artistic content depends on internal form rather than pictorial representation,"abstractionism, abstract_art"
abstruse,"difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge; ""the professor''s lectures were so abstruse that students tended to avoid them""; ""a deep metaphysical theory""; ""some recondite problem in historiography""","abstruse, deep, recondite"
absurd,"inconsistent with reason or logic or common sense; ""the absurd predicament of seeming to argue that virtue is highly desirable but intensely unpleasant""- Walter Lippman","absurd, unreasonable"
absurder,,
abu dhabi,a sheikhdom of eastern Arabia and capital of the United Arab Emirates,"Abu_Dhabi, United_Arab_Emirates's_capital"
abundance,"the property of a more than adequate quantity or supply; ""an age of abundance""","abundance, copiousness, teemingness"
abundant,"present in great quantity; ""an abundant supply of water""",abundant
abuse,cruel or inhumane treatment,"abuse, ill-treatment, ill-usage, maltreatment"
abuse,"treat a person or an animal with cruelty or violence, especially repeatedly; ""her father abused her as a child, physically and emotionally"", ""she was fired from the nursing home for abusing her patients, denying them food and refusing to help them go to t",abuse
abuser,someone who abuses,"abuser, maltreater"
abusive,expressing offensive reproach,"abusive, insulting, opprobrious, scornful, scurrilous"
